nekropole_ID,fundort,region,regionen_Hille2012,graeber_gesamt,ordnung,grabungsjahr,bemerkungen
1,Alberstedt (2),Saalekreis,Saale,1,Einzelgrab,1955,
2,Ballenstedt (37),Lkr. Harz,Nordharz,1,Einzelgrab,1937,
3,Benzingerode (46-49),Lkr. Harz,Nordharz,4,Grabgruppen,2001,
4,Bernburg (50),Salzlandkreis,Bernburg,1,Einzelgrab,1963,
5,Bernburg (65),Salzlandkreis,Bernburg,1,Einzelgrab,1935,
6,Bleckendorf; Egeln-Nord (73),Salzlandkreis,Bernburg,1,Einzelgrab,1951,
7,Braunsbedra (74),Saalekreis,Saale,1,Einzelgrab,1927,
8,Buendorf (79-87),Saalekreis,Saale,9,Grabgruppen,1927,
9,Coermigk (96),Salzlandkreis,Bernburg,1,Einzelgrab,1958,
10,Dalena (100),Saalekreis,Saale,1,Einzelgrab,1919,
11,Dedeleben (101),Lkr. Harz,Nordharz,1,Einzelgrab,1955,AK Graeber in der Naehe
12,Deersheim (106-109),Lkr. Harz,Nordharz,4,Grabgruppen,1995,
13,Deesdorf (110-120),Lkr. Harz,Nordharz,9,Grabgruppen,1976,mehrperiodischer Fundplatz
14,Deuben (127-128),Burgenlandkreis,Saale,2,Grabgruppen,1937,SK Graeber in der Naehe
15,Drosa (142),Lkr. Anhalt-Bitterfeld,Bernburg,1,Einzelgrab,1992,
16,Egeln (145-147),Salzlandkreis,Bernburg,3,Grabgruppen,1927,SK Graeber in der Naehe
17,Egeln (148),Salzlandkreis,Bernburg,1,Einzelgrab,1963,AK Graeber in der Naehe
18,Egeln (149),Salzlandkreis,Bernburg,1,Einzelgrab,1965,
19,Eilsleben (158-163),Lkr. Boerde,Boerde,6,Grabgruppen,1983,AK Graeber in der Naehe; auf LBK Erdwerk
20,Eisleben (165),Lkr. Mansfeld-Suedharz,Mansfeld,1,Einzelgrab,um 1860,
21,Emden (170),Lkr. Boerde,Boerde,1,Einzelgrab,1952,
22,Eulau (172),Burgenlandkreis,Saale,1,Einzelgrab,2002,
23,Freyburg (179-181),Burgenlandkreis,Saale,2,Grabgruppen,1998,GB Befund 134b ueberlagerte SK Grab
24,Gleina (189),Burgenlandkreis,Saale,1,Einzelhuegel,1900,Nachbestattung in einem SK Grabhuegel
25,Goddula (191),Saalekreis,Saale,1,Einzelgrab,1937,
26,Aspenstedt (25-26),Lkr. Harz,Nordharz,2,Grabgruppen,1954,
27,Gorsleben (193),Saalekreis,Saale,1,Einzelgrab,1938,
28,Groena (198),Salzlandkreis,Bernburg,1,Einzelgrab,1965,
29,Groß Boernecke (199-201),Salzlandkreis,Bernburg,3,Grabgruppen,1982,
30,Halberstadt (241),Lkr. Harz,Nordharz,1,Einzelgrab,1958,
31,Hedersleben (254),Lkr. Mansfeld-Suedharz,Mansfeld,1,Einzelgrab,1938,
32,Hedersleben (256),Lkr. Mansfeld-Suedharz,Mansfeld,1,Einzelgrab,1968,
33,Heiligenthal (258),Lkr. Mansfeld-Suedharz,Mansfeld,1,Einzelgrab,1954,
34,Heiligenthal (259),Lkr. Mansfeld-Suedharz,Mansfeld,1,Einzelgrab,1997,
35,Helfta (261-263),Lkr. Mansfeld-Suedharz,Mansfeld,2,Einzelhuegel,vor 1929,Nachbestattung in SK Huegel?
36,Hohenerxleben (277-282),Salzlandkreis,Bernburg,6,Grabgruppen,1997,
37,Hohenmoelsen (283-289),Burgenlandkreis,Saale,7,Grabgruppen,1997,
38,Hohenthurm (293),Saalekreis,Saale,1,Einzelgrab,1999,
39,Hundisburg (299-309),Lkr. Boerde,Boerde,10,Grabgruppen,1982/1987,mehrperiodisches Graeberfeld; zwei Graeber ohne Bestattung
40,Karsdorf (315-326),Burgenlandkreis,Saale,12,Grabgruppen_in_Reihen,1997,zwei Grabgruppen (A: Grab1-5; B: Bef. 100-138); SK und AK Graeberfelder in der unmittelbaren Naehe
41,Kirchedlau (329-330),Lkr. Anhalt-Bitterfeld,Bernburg,2,Grabgruppen,1992,
42,Koenigsaue (348-350),Salzlandkreis,Bernburg,2,Grabgruppen,1967,SK und AK Graeber in unmittelbarer Naehe
43,Koethen (354-363),Lkr. Anhalt-Bitterfeld,Bernburg,10,Grabgruppen,1926/1927,fragwuerdige Orientierungsangaben (SOS-NWN --> SSO-NNW)
44,Koethen-Guetersee (364-365),Lkr. Anhalt-Bitterfeld,Bernburg,2,Grabgruppen,1939,
45,Koetzschen (368),Saalekreis,Saale,1,Einzelgrab,1961,
46,Koetzschen (369),Saalekreis,Saale,1,Einzelgrab,1933,
47,Koetzschen (370),Saalekreis,Saale,1,Einzelgrab,1934,
48,Langendorf (378),Burgenlandkreis,Saale,1,Grabgruppen,1954,Nahe bei ein AK Grab
49,Langendorf (380),Burgenlandkreis,Saale,1,Einzelgrab,1909,auf der Flaeche einer LBK Siedlung gelegen
50,Langenreichstaedt (381),Saalekreis,Saale,1,Einzelgrab,1960,
51,Leuna-Daspig (388),Saalekreis,Saale,1,Einzelgrab,1944,mehrperiodischer Fundplatz
52,Leuna-Roessen (390),Saalekreis,Saale,1,Einzelgrab,1915,in Grabgruppe mit SK Grab
53,Leuna-Roessen (391),Saalekreis,Saale,1,Einzelgrab,1918,Nachbestattung in Roessener Grabhuegel?; SK Grab vorhanden
54,Libehna (392-393),Lkr. Anhalt-Bitterfeld,Bernburg,2,Grabgruppen,vor 1937,
55,Lodersleben (398),Saalekreis,Saale,1,Einzelgrab,1956,
56,Loebersdorf (401),Lkr. Anhalt-Bitterfeld,Bernburg,3,Grabgruppen,1954,Grab 2 und 3 ohne relevanten Infos oder Beigaben
