NAME,SIO2,TIO2,AL2O3,FE2O3,FEO,MNO,MGO,CAO,NA2O,K2O,P2O5,SUMME,Fe2O3 tot,GV,H2OP,H2OM,CO2,BA,CR,CU,GA,NB,NI,PB,RB,SR,TH,V,Y,ZN,ZR
AB   3 ,61.8,0.63,15.5,,,0.07,2.78,8.47,1.24,3.43,0.21,99.9,5.73,,,,,508,108,13,13,13,56,400,163,157,23,124,25,90,107
AB   5 ,63.4,0.63,16,,,0.05,2.73,5.95,1.33,3.62,0.18,99.7,5.76,,,,,479,109,11,13,13,53,5,181,145,18,135,21,89,111
AB   6 ,61.5,0.52,14.8,,,0.05,2.97,10.5,1.5,3.36,0.2,100,4.53,,,,,390,78,10,10,15,40,1,155,205,6,96,23,63,92
AB   8 ,65.4,0.51,15.5,,,0.07,2.06,5.61,2.15,3.68,0.28,99.7,4.38,,,,,677,67,13,13,13,43,13,139,198,19,90,22,76,112
AB   9 ,60.7,0.49,12.3,,,0.07,0.8,17,1.88,3.12,0.63,99.6,2.64,,,,,631,43,7,6,20,24,1,119,212,6,58,33,36,148
AB 15 ,61.2,0.69,16.6,,,0.08,2.88,6.86,2.23,3.17,0.2,99.8,5.95,,,,,569,69,11,13,12,34,1,133,195,9,125,24,75,114
AB 17 ,64.5,0.46,14.1,,,0.05,0.73,10.8,2,4.06,0.39,100,3.02,,,,,1000,38,8,7,10,20,1,131,182,1,62,23,33,126
AB 18 ,67.6,0.5,14.4,,,0.03,0.85,8.29,1.61,3.21,0.38,100,3.38,,,,,743,65,9,11,17,50,1,173,110,22,127,34,92,120
AB 19 ,58.5,0.66,13.8,,,0.07,1.32,16.5,1.75,2.7,0.47,99.9,4.04,,,,,796,55,9,6,14,28,1,106,212,5,77,24,47,161
AB 20 ,57.5,0.76,16.9,,,0.1,3.07,10.3,1.12,3.26,0.63,100,6.48,,,,,811,75,32,10,14,65,1,142,213,3,110,25,103,125
AB 23 ,63.3,0.64,13.9,,,0.08,2.21,10.5,1.68,2.86,0.43,99.9,4.32,,,,,1070,62,29,8,10,46,1,99,199,8,95,26,70,141
AB 25 ,57.8,0.73,16.2,,,0.11,3.01,11.4,1.49,3.12,0.17,99.5,5.57,,,,,513,83,28,11,14,60,1,139,142,14,106,26,91,130
AB 35 ,61.4,0.63,13,,,0.03,1.4,16.6,0.93,2.2,0.21,99.7,3.28,,,,,386,73,20,7,13,49,1,90,141,7,85,23,60,183
AB 48 ,60.2,0.89,18.9,,,0.03,1.07,9.54,0.56,2.7,0.61,99.8,5.26,,,,,772,78,9,14,19,58,1,126,356,4,168,24,73,166
AB 52 ,59,0.76,15.9,,,0.09,2.77,12.6,0.95,2.36,0.39,99.5,4.85,,,,,1260,93,32,10,11,70,1,78,266,4,106,23,80,120
AB 53 ,63.2,0.61,12.2,,,0.08,1.93,14,1.54,2.21,0.23,99.6,3.6,,,,,584,68,28,5,9,49,1,75,220,7,74,23,59,163
AB 54 ,49.7,0.73,15.3,,,0.1,2.9,20.5,0.85,3.8,0.19,99.6,5.53,,,,,687,81,26,6,11,66,1,109,342,3,85,22,87,99
AB 55 ,57.8,0.68,14.2,,,0.09,2.54,15,1.05,3.25,0.23,99.8,4.92,,,,,666,75,24,7,11,60,1,98,317,2,76,21,82,126
AB 56 ,60.7,0.72,15.1,,,0.09,2.58,12,1.32,2.52,0.35,99.8,4.43,,,,,853,81,27,8,11,61,1,85,280,3,84,21,77,140
AB 57 ,56.3,0.67,13.4,,,0.11,2.55,18.7,1.19,2.36,0.4,99.8,4.15,,,,,612,59,29,5,12,48,1,78,287,3,81,23,94,128
AB 58 ,55.4,0.67,13.6,,,0.1,3.11,18.1,1.27,2.55,0.22,99.8,4.79,,,,,392,64,31,8,10,57,1,89,234,12,82,24,90,121
AB 59 ,55.6,0.68,13.6,,,0.1,2.89,18.5,1.22,2.55,0.32,100,4.55,,,,,477,71,22,6,10,55,1,86,254,4,76,23,99,125
