"","lat","lng"
"1",NA,NA
"37",37.249147,-8.843732
"52",NA,NA
"61",37.510162,-7.775081
"66",37.980222,-8.073403
"76",NA,NA
"84",NA,NA
"101",38.119346,-8.051727
"103",38.429422,-9.172834
"109",38.091553,-7.603707
"112",37.200521,-7.620665
"115",37.203486,-7.61873
"117",37.986363,-8.141549
"118",38.080003,-8.120999
"133",38.363859,-7.390631
"140",37.974395,-8.02489
"151",NA,NA
"152",NA,NA
"154",38.37047,-7.455902
"164",38.005806,-7.626515
"165",NA,NA
"166",37.98559,-7.995537
"172",38.344374,-7.372414
"183",37.303936,-8.795747
"184",38.116425,-7.664797
"185",37.947412,-7.812133
"186",37.95434,-7.808553
"188",37.999125,-7.680309
"192",37.739909,-8.794308
"193",37.737701,-8.794402
"194",37.737184,-8.796723
"198",38.067236,-7.964995
"199",37.841393,-7.793745
"212",37.694703,-8.559409
"213",38.140553,-7.676814
"214",38.068457,-8.095486
"225",38.007186,-7.547235
"229",37.037562,-7.930766
"238",38.023138,-7.566845
"244",38.19561,-7.504098
"252",38.089599,-7.753265
"254",38.115268,-8.057125
"255",37.96324,-7.600441
"260",NA,NA
"262",38.526181,-8.012915
"265",NA,NA
"268",NA,NA
"283",38.68628,-8.353868
"287",38.41459,-7.364809
"289",NA,NA
"290",38.685609,-9.152514
"293",NA,NA
"296",NA,NA
"309",38.010312,-7.938617
"314",37.371493,-8.799163
"319",38.004566,-7.792551
"321",37.92997,-7.780474
"329",38.554996,-8.213137
"331",37.944613,-7.597333
"332",37.942105,-7.596475
"333",NA,NA
"350",37.899851,-7.616565
"359",38.107176,-7.860715
"368",37.969042,-7.519053
"380",38.003728,-8.075821
"383",38.07593,-7.971905
"389",38.460899,-7.475349
"399",38.095928,-8.076411
"408",38.461299,-7.510828
"409",38.46188,-7.513389
"420",38.70443,-7.793965
"421",38.673531,-7.951435
"422",38.668702,-7.951194
"423",38.668703,-7.951642
"424",38.673531,-7.951435
"425",38.601976,-7.995398
"426",38.602288,-7.97874
"427",38.604499,-7.974695
"428",38.600477,-7.978193
"429",38.604101,-7.980435
"430",NA,NA
"432",38.543206,-8.070009
"433",38.546807,-8.066565
"436",38.092562,-7.752919
"439",NA,NA
"443",NA,NA
"449",38.586004,-7.27232
"456",37.150878,-8.4291
"459",38.681873,-7.998636
"461",38.538704,-8.073454
"483",38.295791,-8.230687
"487",38.632101,-7.447735
"494",37.389127,-7.528281
"518",38.288106,-7.570509
"520",38.237324,-8.017159
"521",38.235075,-8.019447
"540",38.508636,-7.772734
"541",38.564008,-8.918114
"542",38.726942,-7.267413
"544",37.94746,-7.337465
"545",38.303233,-7.386596
"548",37.613087,-8.603679
"549",37.997992,-7.709996
"569",38.445041,-7.338141
"570",38.438751,-7.340501
"575",38.030767,-7.617345
"592",NA,NA
"602",38.054344,-7.474785
"617",37.485186,-8.125173
"629",37.929658,-7.593461
"640",NA,NA
"641",37.996078,-8.095704
"643",38.826848,-7.318946
"644",38.790685,-8.225464
"645",NA,NA
"648",37.200113,-8.592089
"650",37.201397,-8.598011
"651",NA,NA
"652",NA,NA
"653",37.198812,-8.590842
"654",37.198948,-8.590561
"655",37.19895,-8.590111
"656",37.199311,-8.589775
"657",37.199356,-8.589775
"658",37.199093,-8.588028
"659",37.200147,-8.594962
"660",37.199183,-8.587916
"661",NA,NA
"662",37.28996,-7.814333
"663",37.087034,-8.831529
"664",37.092372,-7.703188
"665",NA,NA
"666",38.634728,-7.756393
"667",37.341812,-7.562064
"668",37.72787,-8.791569
"669",37.410374,-7.686922
"670",NA,NA
"672",37.9486,-7.541818
"674",37.587281,-8.748776
"675",37.367305,-8.106094
"676",38.161707,-8.13024
"677",NA,NA
"679",38.718541,-7.503282
"680",38.532476,-8.918689
"681",38.658305,-7.996336
"682",38.011617,-7.757714
"684",37.48055,-8.473394
"686",38.686965,-9.147809
"688",NA,NA
"689",37.803938,-8.288086
"691",NA,NA
"692",38.665618,-8.297975
"693",38.253905,-7.949727
"694",38.123113,-8.65276
"696",NA,NA
"697",NA,NA
"698",NA,NA
"699",NA,NA
"700",NA,NA
"702",38.389383,-7.367365
"703",37.976871,-7.560064
"704",37.49542,-7.661539
"705",37.690049,-8.063362
"706",38.758414,-7.464967
"707",38.238227,-8.018871
"708",38.071471,-8.118277
"709",NA,NA
"710",38.071883,-8.078389
"711",38.39671,-7.344623
"712",37.315199,-8.795846
"713",38.79293,-7.881888
"714",38.792464,-7.874695
