Katalognr / Literatur,Fundort,Kreis,Land,Schwertart,Typ,Variante,Fundumstände (Statistik),Amt / Kreis,Datie-rung,Steinkreis/-kranz,Stein-kiste,Stein-packung,Stein-setzung,Stein-rahmen,Megalith-grab,Baum-sarg,Holz-sarg,Körper-bestattung,Brand-bestattung,Doppel-bestattung,Fibel,Nadel,Gold-nadel,Wetz-stein,Feuer-schlag-stein,Schwefel-kies,Flint-dolch,Vollgriff-schwert,Vollgriff-dolch,Achtkant-schwert,Griff-platten-schwert,Griffplatten-dolch,Griffzungen-schwert,Griffzungen-dolch,Griffangel-schwert,Griffangel-dolch,Krumm-schwert,Klingen-fragment,Dolchklingen-fragment,Schwertklingen-fragment,Knauf,Ortband,Holz-scheide,Leder-scheide,Doppel-knopf,Lanzen-spitze,Flintpfeil-spitze,"""Sonnen-scheibe""",Blech-hülse,Gürtel-platte,Gürtel-haken,Gürtel-dose,Buckel,Tutulus,Anhänger,Glas-perle,Bern-stein-perle,Anderes Bernstein-objekt,Spiral-ring,Ring,Gold-spiral-ring,Gold-ring,Hals-kragen,Hals-ring,Armring,Spiral-arm-ring,Armberge,Armband,Goldarm-band,Goldarm-ring,Gold-spiral-armring,Finger-ring,Spiral-finger-ring,Gold-finger-ring,Goldspiral-fingerring,Fußring,Fußberge,Spiral-röllchen,Gold-spiral-röllchen,Rasier-messer,Pinzette,Pfriem,Messer,Vollgriff-messer,Rahmen-griff-messer,Sichel,Rand-leisten-beil,Absatz-beil,nordisches Absatzbeil,Tüllen-beil,Hohl-beil,Axt,Schaft-röhren-axt,Stein-axt,Tüllen-meißel,Hohl-meißel,Tüllen-hammer,Bronze-rohmaterial,Bronze-gefäß,Ton-gefäß,Sonstiges
A1,Kyndby,"Kyndby sogn, Frederiksborg Amt",Dänemark,Krummschwert,,,Grabhügel,Frederiksborg Amt,Per. I,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,Buddinge,"Ksp. Gladsakse, Sokkelund Herred, Københavns Amt",Dänemark,Griffangeldolch mit massivem Heft und Knauf,Valsømagle nahestehend,Variante A2 nahestehend,Grabhügel o. Flachgrab,Københavns Amt,Per. I,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
A3,Brundby,"Ksp. Tranebjerg, Samsø Herred, Holbæk Amt",Dänemark,Sonstiger Vollgriffdolch,Hajdúsámson-Apa,Variante Oradea nahestehend,Einzelfund Moor,Holbæk Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,Gislinge,"Ksp. Gislinge, Tuse Herred, Holbæk Amt",Dänemark,Sonstiger Vollgriffdolch,Valsømagle,Variante A1,Grabhügel,Holbæk Amt,Per. I,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5,Herslev,"Ksp. Finnerup, Løve Herred, Holbæk Amt",Dänemark,Sonstiger Vollgriffdolch,Valsømagle nahestehend,Variante A1 nahestehend,Grabhügel,Holbæk Amt,Per. I,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
A6,Overby Lyng,"Ksp. Odden, Ods Herred, Holbæk Amt",Dänemark,Sonstiges Vollgriffschwert,,,Grabhügel,Holbæk Amt,Per. I,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7,Rørby,"Ksp. Raklev, Ars Herred, Holbæk Amt",Dänemark,Krummschwert,,,Hortfund Moor,Holbæk Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8,Rørby,"Ksp. Raklev, Ars Herred, Holbæk Amt",Dänemark,Krummschwert,,,Hortfund Moor,Holbæk Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9,Halseby,"Ksp. Tårnborg, Slagelse Herred, Sorø Amt",Dänemark,Sonstiger Vollgriffdolch,Valsømagle,Variante A2,Grabhügel,Sorø Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10,Tornemark,"Ksp. Fyrendal, Øster-Flakkebjerg Herred, Sorø Amt",Dänemark,Sonstiger Vollgriffdolch,Valsømagle,Variante A1,Grabhügel,Sorø Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11,Valsømagle,"Ksp. Haraldsted, Ringsted Herred, Sorø Amt",Dänemark,Sonstiges Vollgriffschwert,Valsømagle,Variante A1,Hortfund Land,Sorø Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,
A12,Vemmelev,"Ksp. Vemmelev, Slagelse Herred, Sorø Amt",Dänemark,Sonstiger Vollgriffdolch,,,unbekannt,Sorø Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A13,Overdrevsgård,"Ksp. Allerslev, Bårse Herred, Præstø Amt",Dänemark,Sonstiger Vollgriffdolch,Valsømagle nahestehend,Variante A1 nahestehend,Einzelfund Land,Præstø Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A14,Sandbygård,"Ksp. Sandby, Tybjerg Herred, Præstø Amt",Dänemark,Sonstiges Vollgriffschwert,Hajdúsámson-Apa,Variante Oradea,Einzelfund Moor,Præstø Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A15,Bøgeskov,"Ksp. Engestofte, Musse Herred, Maribo Amt",Dänemark,Sonstiges Vollgriffschwert,Hajdúsámson-Apa nahestehend,,Einzelfund Moor,Maribo Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A16,Stensgård,"Ksp. Stokkemarke, Lollands Sønder-Herred, Maribo Amt",Dänemark,Sonstiges Vollgriffschwert,Hajdúsámson-Apa,Variante Hajdúsámson,Einzelfund Moor,Maribo Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A17,Torupgårde,"Ksp. Bregninge, Musse Herred, Maribo Amt",Dänemark,Sonstiges Vollgriffschwert,Hajdúsámson-Apa,Variante Hajdúsámson,Einzelfund Moor,Maribo Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18,Guldbjerg,"Ksp. Guldbjerg, Skovby Herred, Odense Amt",Dänemark,Sonstiger Vollgriffdolch,Hajdúsámson-Apa,Variante Oradea nahestehend,Flachgrab,Odense Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A19,Hjulby,"Ksp. Nyborg, Vindinge Herred, Svendborg Amt",Dänemark,Sonstiger Vollgriffdolch,Valsømagle,Variante A1,Einzelfund Moor,Svendborg Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20,Risskov,"Ksp. Ørbæk, Vindinge Herred, Svendborg Amt",Dänemark,Sonstiges Vollgriffschwert (?),Valsømagle,Variante A2,unbekannt,Svendborg Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A21,Horne Kirkegård,"Ksp. Horne, Vennebjerg Herred, Hjørring Amt",Dänemark,Sonstiger Vollgriffdolch,,,Grabhügel,Hjørring Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A22,Lerup,"Ksp. Lerup, Øster Han Herred, Hjørring Amt",Dänemark,Sonstiger Vollgriffdolch,Valsømagle,Variante A1,Grabhügel,Hjørring Amt,Per. I,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A23,Mosbæk,"Ksp. Brønderslev, Bøglum Herred, Hjørring Amt",Dänemark,Sonstiger Vollgriffdolch,Valsømagle,Variante A2,Grabhügel,Hjørring Amt,Per. I,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24,Ksp. Tranum,"Ksp. Tranum, Øster-Han Herred, Hjørring Amt",Dänemark,Sonstiger Vollgriffdolch,Valsømagle nahestehend,,Grabhügel,Hjørring Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A25,Vester Brønderslev,"Ksp. Brønderslev, Børglum Herred, Hjørring Amt",Dänemark,Sonstiger Vollgriffdolch,,,Grabhügel,Hjørring Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A26,Nähe von Thisted,"Landksp. Thisted, Hundborg Herred, Thisted Amt",Dänemark,Sonstiger Vollgriffdolch,Hajdúsámson-Apa,Variante Oradea nahestehend,unbekannt,Thisted Amt,Per. I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
