NAME,SIO2,TIO2,AL2O3,FE2O3,FEO,MNO,MGO,CAO,NA2O,K2O,P2O5,SUMME,Fe2O3 tot,GV,H2OP,H2OM,CO2,BA,CR,CU,GA,NB,NI,PB,RB,SR,TH,V,Y,ZN,ZR
KH01   ,68.06,0.66,18.56,,,0.04,2.12,1.31,1.63,3.26,0.07,,4.45,,,,,1017,121,37,,,78,,123,135,,,,93,198
KH02   ,68.58,0.83,18.31,,,0.03,1.06,1.26,1.45,3.56,0.51,,4.31,,,,,677,109,17,,,48,,125,99,,,,93,242
KH03   ,53.67,0.8,16.88,,,0.07,1.28,19.12,0.55,2.19,0.54,,3.75,,,,,621,83,18,,,50,,82,323,,,,72,168
KH04   ,49.89,0.73,15.44,,,0.08,1.15,24.45,0.62,2.27,0.69,,3.61,,,,,538,71,17,,,48,,74,347,,,,70,149
KH05   ,73.35,0.69,15.76,,,0.02,2.07,1.19,0.39,2.19,0.24,,4.06,,,,,619,139,37,,,92,,102,108,,,,101,126
KH06   ,54.17,0.82,17.33,,,0.06,1.21,17.46,0.58,2.38,0.64,,4.21,,,,,604,87,18,,,47,,78,282,,,,83,170
KH07   ,74.22,0.6,14.41,,,0.04,1.83,1.11,1.09,2.51,0.14,,4,,,,,604,127,31,,,79,,101,90,,,,72,172
KH08   ,71.71,0.77,16.61,,,0.02,2.13,1.19,0.5,2.54,0.22,,4.24,,,,,637,143,34,,,93,,106,90,,,,95,159
KH09   ,75.7,0.67,14.05,,,0.03,1.94,0.88,0.6,2.09,0.15,,4.65,,,,,386,142,39,,,83,,108,84,,,,82,161
KH10   ,71.19,0.72,16.02,,,0.02,2.17,1.44,0.94,2.5,0.11,,4.29,,,,,510,134,33,,,91,,110,94,,,,88,150
KH11   ,67.18,0.77,18.3,,,0.06,2.16,1.28,1.53,3.35,0.11,,5.23,,,,,712,121,38,,,69,,147,108,,,,96,193
KH12   ,72.33,0.75,16.62,,,0.02,2.11,1.22,0.51,2.39,0.27,,3.76,,,,,665,136,37,,,105,,105,99,,,,101,146
KH13   ,51.77,0.84,17.37,,,0.05,1.23,19.57,0.6,2.39,0.67,,4.3,,,,,510,80,21,,,50,,80,275,,,,93,176
KH14   ,74.34,0.76,15.71,,,0.01,1.56,0.98,0.95,2.33,0.28,,3.06,,,,,692,112,32,,,70,,107,98,,,,92,197
KH15   ,75.36,0.7,14.61,,,0.02,1.49,1.07,0.69,2.4,0.42,,2.99,,,,,813,125,24,,,71,,107,117,,,,86,163
KH16   ,75.71,0.73,14.64,,,0.02,1.37,1.2,0.72,2.14,0.4,,2.86,,,,,733,121,22,,,67,,99,118,,,,89,155
KH17   ,74.85,0.72,14.95,,,0.01,1.63,0.89,0.77,2.16,0.1,,3.58,,,,,500,123,25,,,76,,104,72,,,,91,184
KH18   ,70.52,0.72,16.15,,,0.07,1.95,1.05,0.79,2.73,0.22,,5.11,,,,,666,132,35,,,94,,123,90,,,,86,188
KH19   ,76.37,0.62,13.34,,,0.02,1.55,1.01,0.79,2.21,0.37,,3.59,,,,,678,117,25,,,75,,95,95,,,,83,155
KH20   ,74.5,0.72,14.26,,,0.02,1.8,1.19,0.73,2.38,0.2,,3.95,,,,,447,125,28,,,73,,121,95,,,,91,172
KH21   ,75.54,0.58,13.55,,,0.02,1.53,1.11,1.26,2.64,0.36,,3.23,,,,,687,98,20,,,55,,97,105,,,,77,157
KH22   ,75.68,0.6,14.07,,,0.02,1.36,1.36,0.84,2.13,0.43,,3.03,,,,,770,112,21,,,63,,101,111,,,,76,141
KH23   ,73.11,0.74,15.38,,,0.02,1.36,2.07,0.79,2.4,0.32,,3.07,,,,,676,119,22,,,67,,109,128,,,,93,166
KH24   ,75.34,0.68,14.27,,,0.02,1.5,1.11,0.83,2.34,0.38,,3.35,,,,,715,112,28,,,76,,109,111,,,,93,176
KH25   ,74.31,0.7,14.57,,,0.02,1.72,1.08,0.79,2.37,0.25,,3.76,,,,,594,127,27,,,73,,124,100,,,,90,181
KH26   ,73.89,0.74,14.83,,,0.02,1.5,1.58,0.71,2.25,0.63,,3.28,,,,,806,124,26,,,73,,104,143,,,,92,171
KH27   ,75.97,0.62,13.45,,,0.02,1.35,1.31,0.97,2.01,0.35,,3.07,,,,,602,103,27,,,66,,108,125,,,,82,168
KH28   ,74.02,0.66,14.69,,,0.04,1.64,1.28,0.88,2.21,0.15,,4.18,,,,,461,121,31,,,66,,122,101,,,,86,150
KH29   ,73.94,0.64,15.32,,,0.02,1.42,1.35,1.05,2.33,0.26,,3.23,,,,,614,122,26,,,78,,102,110,,,,81,164
KH30   ,72.41,0.71,15.68,,,0.04,2.13,1.24,0.39,2.81,0.34,,4.37,,,,,695,133,35,,,108,,132,96,,,,107,158
KH31   ,71.96,0.61,15.28,,,0.06,2.27,1.68,0.53,2.43,0.17,,4.67,,,,,585,130,32,,,98,,110,92,,,,90,108
KH32   ,76.93,0.58,12.46,,,0.02,1.64,1.26,0.82,2.18,0.19,,3.71,,,,,392,115,31,,,73,,113,97,,,,80,165
KH33   ,72.9,0.72,15.95,,,0.02,1.68,1.19,0.83,2.31,0.11,,3.69,,,,,541,133,26,,,75,,104,82,,,,88,166
KH34   ,74.19,0.71,15.21,,,0.01,1.48,1.12,0.73,2.54,0.21,,3.16,,,,,628,124,31,,,65,,96,87,,,,85,158
KH35   ,71.33,0.58,15.8,,,0.04,1.36,1.46,2.15,3.06,0.15,,3.67,,,,,879,94,22,,,59,,106,145,,,,78,193
KH36   ,76.96,0.63,13.71,,,0.01,1.14,1,0.71,2.49,0.18,,2.8,,,,,667,106,26,,,63,,101,99,,,,73,153
KH37   ,75.28,0.69,15.19,,,0.01,1.17,1.1,0.8,2.62,0.18,,2.7,,,,,652,114,24,,,57,,103,110,,,,84,158
KH38   ,78.62,0.52,12.41,,,0.01,1.17,0.94,0.91,2.15,0.15,,2.66,,,,,528,94,28,,,72.9,,84,81,,,,64,146
KH39   ,70.5,0.75,16.01,,,0.03,2.13,1.39,1.4,3.23,0.21,,4.22,,,,,861,134,36,,,89,,134,192,,,,88,206
KH40   ,71.36,0.63,14.83,,,0.03,1.66,3.03,1.4,2.4,0.24,,3.78,,,,,452,101,28,,,65,,119,171,,,,85,169
KH41   ,76.08,0.59,13.55,,,0.02,1.61,1.29,0.93,2.07,0.1,,3.43,,,,,411,109,30,,,63,,117,109,,,,73,145
KH42   ,75.72,0.59,13.44,,,0.02,1.65,1.3,0.93,2.25,0.15,,3.67,,,,,402,108,31,,,68,,122,96,,,,84,156
KH43   ,76.5,0.61,13.49,,,0.02,1.59,1.04,0.97,2.04,0.18,,3.61,,,,,463,106,27,,,73,,111,95,,,,81,158
KH44   ,74.42,0.61,14.7,,,0.05,1.36,2.52,1.76,2.11,0.17,,2.46,,,,,562,111,26,,,65,,98,113,,,,76,157
KH45   ,71.45,0.68,14.38,,,0.02,2.99,2.47,0.73,2.08,0.12,,4.35,,,,,468,137,34,,,94,,87,79,,,,87,151
KH46   ,75.75,0.64,14.32,,,0.02,1.88,1.21,0.7,2.08,0.11,,3.82,,,,,546,132,27,,,73,,84,97,,,,67,139
KH47   ,71.67,0.65,16.26,,,0.03,1.12,1.26,1.78,3.51,0.22,,3.5,,,,,715,94,19,,,51,,126,115,,,,90,202
