NAME,SIO2,TIO2,AL2O3,FE2O3,FEO,MNO,MGO,CAO,NA2O,K2O,P2O5,Fe2O3 tot,GV,H2OP,H2OM,CO2,BA,CR,CU,GA,NB,NI,PB,RB,SR,TH,V,Y,ZN,ZR
AB   2 ,71.1,0.62,16.9,,,0.02,1.54,1.11,1.54,3.23,0.07,4.08,,,,,768,100,24,15,13,61,7,123,94,14,137,16,74,138
AB   4 ,66.1,0.79,17�.9,,,0.11,2.46,2.36,1.41,3.49,0.15,6.31,,,,,586,119,27,18,20,66,4,172,85,16,168,33,109,168
AB   7 ,70.8,0.62,16.7,,,0.03,1.73,1.2,1.5,3.12,0.08,4.35,,,,,714,98,22,14,13,60,7,126,99,10,136,14,76,133
AB  10 ,64.8,0.8,18.5,,,0.07,2.79,1.85,1.41,3.27,0.21,6.36,,,,,873,117,13,16,12,60,1,140,127,10,168,22,98,132
AB  11 ,64.3,0.78,19.2,,,0.08,2.36,1.74,0.59,3.05,0.29,7.59,,,,,881,139,32,17,13,100,1,149,129,5.9,200,27,108,125
AB 12 ,66.4,0.77,18.7,,,0.05,1.76,1.72,1.25,2.43,0.24,6.45,,,,,856,132,31,18,10,93,1,124,150,20,190,23,107,120
AB 16 ,69.9,0.54,15.8,,,0.04,0.95,3.03,2.14,3.34,0.32,3.61,,,,,765,64,14,13,15,35,7,156,129,24,123,28,76,138
AB 21 ,67.2,0.72,16.3,,,0.11,2.32,2.69,1.66,3.06,0.21,5.46,,,,,1000,93,31,14,11,63,1,127,121,12,123,30,87,171
AB 22 ,68.3,0.72,15.7,,,0.03,2.51,1.�51,2.06,3.57,0.16,5.56,,,,,502,62,32,13,12,43,1,133,54,11,131,29,73,148
AB 26 ,69.6,0.71,15.7,,,0.04,2.28,0.71,1.94,3.3,0.15,5.46,,,,,638,83,33,15,14,54,1,136,55,16,125,24,80,165
AB 27 ,70.1,0.71,15.5,,,0.04,2.25,0.68,1.98,3.18,0.16,5.37,,,,,686,86,31,15,12,56,9,124,56,30,126,27,79,167
AB 28 ,69.5,0.67,14.8,,,0.06,2.16,2.47,1.94,3.11,0.23,4.74,,,,,606,94,29,12,10,75,1,125,110,14,116,27,91,168
AB 29 ,69.8,0.7,15.5,,,0.06,2.26,0.98,2.01,3.22,0.12,4.92,,,,,610,94,25,15,15,52,6,137,80,13,128,26,84,173
AB 32 ,64.9,0.78,19.3,,,0.07,2.2,1.81,0.59,2.98,0.29,7.2,,,,,895,139,31,17,14,102,1.2,139,152,9.2,198,27,108,127
AB 34 ,65.1,0.67,17.3,,,0.1,2.44,3.31,1.52,3.56,0.27,5.82,,,,,1130,102,15,15,13,53,7,142,167,18,138,26,92,134
