An.Nr.,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SUM,Ba,Cr,Cu,Nb,Ni,Pb,Rb,Sr,V,Y,Zn,Zr,FeO,L O I
JB001,67.45,0.83,18.97,4.78,0.06,1.88,2.34,0.77,2.59,0.19,100.05,862,115,34,19,62,26,150,171,141,23,111,154,1.83,5.55
JB002,64.85,0.71,17.58,5.72,0.06,1.76,5.45,0.70,3.27,0.21,100.46,392,112,33,17,56,28,183,214,134,30,110,142,3.23,3.21
JB003,68.71,0.64,16.86,4.64,0.06,1.35,1.91,1.43,4.21,0.41,100.35,383,102,34,15,47,23,231,120,105,29,96,119,1.95,2.21
JB004,65.74,0.69,17.22,4.30,0.05,2.56,5.73,0.19,2.80,0.29,99.74,671,116,48,14,85,32,155,186,117,26,118,143,0.95,8.13
JB007,73.62,0.63,13.91,3.91,0.04,2.25,3.47,0.25,2.13,0.10,100.45,476,109,33,12,70,24,117,189,94,20,85,158,0.97,6.48
JB008,70.09,0.77,17.77,4.61,0.07,1.61,2.16,0.38,2.47,0.14,100.24,730,125,40,17,63,28,148,161,133,22,106,160,1.32,4.25
JB009,68.66,0.63,16.41,4.39,0.07,1.36,4.12,1.24,3.11,0.18,100.34,678,91,31,13,50,29,161,266,110,27,90,161,2.57,2.17
JB010,71.12,0.76,17.34,4.26,0.02,2.07,1.73,0.33,2.53,0.14,100.46,583,140,39,16,82,27,161,108,134,22,112,184,1.04,6.33
JB011,67.02,0.78,18.12,4.21,0.05,1.81,4.12,0.91,2.80,0.29,100.30,905,102,37,18,58,30,139,202,121,29,115,171,1.58,6.16
JB013,66.23,0.76,18.94,5.38,0.06,1.85,3.42,0.36,3.02,0.19,100.39,676,128,40,17,65,30,169,218,143,25,114,135,2.57,4.71
JB015,69.07,0.77,18.93,4.19,0.02,1.90,1.65,0.77,2.59,0.29,100.36,821,119,45,16,64,34,164,146,126,26,124,140,1.81,5.90
JB016,68.01,0.74,18.41,4.92,0.04,1.46,2.69,0.69,2.74,0.27,100.15,796,107,41,16,63,29,151,197,118,23,102,132,0.86,6.33
JB017,66.18,0.79,19.21,5.14,0.05,1.79,3.24,0.50,2.91,0.36,100.38,972,127,41,18,72,34,151,211,147,23,119,135,2.30,9.68
JB018,66.74,0.84,20.11,4.73,0.03,2.00,1.81,0.60,2.89,0.33,100.29,988,124,45,18,74,35,163,164,134,29,138,146,2.26,7.46
JB021,66.24,0.76,18.61,5.25,0.04,1.88,3.81,0.70,2.61,0.26,100.35,844,117,38,16,70,29,155,257,137,24,111,142,1.85,5.56
JB022,71.14,0.70,17.08,4.19,0.04,1.36,1.53,1.44,2.87,0.10,100.61,651,91,27,13,52,24,138,183,94,22,88,212,1.27,5.64
JB023,68.29,0.65,17.49,5.12,0.06,1.64,2.04,1.23,3.42,0.19,100.28,523,107,38,14,52,28,170,184,124,27,95,142,2.80,2.40
JB024,68.43,0.76,18.54,5.08,0.05,1.63,2.11,0.58,2.83,0.30,100.49,800,120,35,17,62,28,162,198,133,23,118,152,0.72,4.37
JB025,64.39,0.72,17.94,4.59,0.07,1.61,6.93,0.72,2.72,0.29,100.17,850,111,34,18,57,27,148,270,132,24,103,136,1.92,9.71
JB026,66.45,0.72,18.66,4.79,0.05,1.56,3.31,1.08,2.92,0.22,99.95,842,108,33,15,58,30,157,259,126,25,103,144,1.27,5.72
