An.Nr.,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SUM,Ba,Cr,Cu,Nb,Ni,Pb,Rb,Sr,V,Y,Zn,Zr,LOI,
MP1,69.43,0.53,16.49,4.57,0.06,1.53,1.23,1.99,3.77,0.15,99.89,567,116,8,15,63,25,194,104,79,11,89,121,4.78,
MP2,66.93,0.51,15.45,4.32,0.06,1.56,4.16,2.13,3.89,0.55,99.74,911,93,13,13,46,23,168,210,72,18,77,176,6.80,
MP3,66.54,0.65,18.91,4.55,0.06,1.90,1.61,1.73,2.81,0.43,99.31,396,147,13,13,45,30,140,94,105,16,104,132,8.68,
MP4,69.53,0.54,15.47,5.15,0.07,2.04,1.28,1.83,3.36,0.19,99.60,473,111,6,12,59,23,159,116,89,9,87,114,5.87,
MP5,67.75,0.57,16.95,4.99,0.05,1.82,1.55,2.25,3.37,0.16,99.57,449,106,12,14,57,24,176,117,86,9,84,136,7.43,
MP6,66.35,0.67,17.84,6.06,0.03,2.30,1.13,1.25,3.62,0.11,99.52,537,147,13,13,70,26,215,92,115,5,107,121,6.24,
MP7,69.43,0.58,17.53,3.57,0.05,1.35,1.36,1.63,3.60,0.36,99.61,548,133,16,18,66,30,233,95,86,9,69,113,6.04,
MP8,69.63,0.53,16.04,4.55,0.07,1.68,1.28,1.94,3.85,0.20,99.89,504,114,15,17,60,28,192,94,82,10,90,117,3.95,
MP9,68.02,0.51,17.18,4.64,0.04,1.80,1.22,2.38,3.45,0.08,99.44,456,108,12,10,53,32,178,130,87,7,86,119,7.31,
MP10,62.77,0.61,17.20,5.11,0.06,2.22,5.73,1.28,3.79,0.36,99.27,669,129,14,23,84,31,216,146,90,11,79,108,7.85,
MP11,67.28,0.59,16.90,5.63,0.04,2.13,1.35,1.75,3.57,0.17,99.55,576,137,16,11,87,27,174,109,100,8,100,124,7.07,
MP12,65.11,0.65,17.50,4.86,0.06,2.01,3.88,1.27,3.87,0.23,99.61,721,130,19,12,73,33,169,147,101,10,102,113,7.22,
MP13,68.78,0.56,16.44,4.14,0.07,1.70,1.92,2.01,3.57,0.27,99.61,752,108,9,11,54,28,163,155,90,14,95,120,5.82,
MP14,70.10,0.70,16.39,4.29,0.07,1.73,1.24,1.42,3.06,0.29,99.51,997,112,329,12,74,30,136,134,92,12,89,153,5.00,
MP15,65.56,0.80,19.26,5.68,0.03,2.23,1.36,1.00,3.14,0.30,99.55,627,171,118,14,83,36,166,112,135,9,124,135,9.93,
MP16,69.46,0.52,16.23,4.16,0.03,1.42,1.25,2.13,3.91,0.21,99.47,777,54,22,15,32,25,172,123,53,10,61,146,3.63,
MP17,68.76,0.64,16.56,5.02,0.07,2.02,1.48,1.24,3.38,0.16,99.52,665,141,367,12,67,26,182,121,105,12,97,118,5.02,
MP18,69.72,0.51,15.25,5.50,0.06,1.95,1.21,1.53,3.67,0.17,99.71,580,117,39,13,123,26,213,96,90,8,90,101,3.08,
MP19,66.96,0.63,16.81,6.30,0.06,2.34,1.91,1.72,2.78,0.12,99.74,388,142,22,11,76,27,157,106,115,13,115,135,5.50,
MP20,59.92,0.68,16.36,4.41,0.08,2.24,11.05,1.54,2.89,0.27,99.61,589,114,46,13,72,25,150,225,85,12,108,144,11.73,
MP21,66.24,0.72,17.45,5.99,0.09,2.38,1.69,1.33,3.18,0.23,99.43,537,142,12,14,72,26,174,127,109,10,97,128,2.98,
MP22,68.79,0.55,15.66,5.38,0.05,2.00,1.70,1.99,2.94,0.17,99.36,531,125,11,10,56,26,136,127,90,10,90,114,5.75,
MP23,70.43,0.55,15.82,4.63,0.04,1.76,1.03,1.66,3.26,0.07,99.39,556,135,10,14,75,28,166,98,90,11,91,132,5.23,
MP24,62.84,0.71,18.03,5.82,0.05,2.16,4.86,1.30,3.31,0.25,99.48,567,131,26,14,104,28,214,144,102,<3,111,123,8.97,
MP25,67.53,0.61,17.22,5.07,0.03,2.07,1.34,1.60,3.38,0.21,99.22,536,128,11,12,69,29,182,128,101,8,94,129,8.04,
MP26,62.23,0.58,16.26,5.19,0.05,2.47,7.87,1.06,3.59,0.23,99.70,501,126,106,11,86,26,176,217,97,7,91,113,9.56,
MP27,68.77,0.58,16.01,5.05,0.08,1.95,1.51,1.70,3.61,0.21,99.61,522,120,33,15,59,24,172,128,93,11,95,120,4.95,
MP28,60.79,0.77,18.50,5.70,0.07,2.50,6.68,1.57,2.75,0.15,99.64,541,117,33,12,70,28,169,167,105,10,111,137,9.61,
MP29,67.24,0.65,16.73,6.32,0.07,2.29,2.26,1.65,3.02,0.13,100.51,553,138,19,11,80,26,145,130,107,12,113,126,5.83,
MP30,66.88,0.69,18.06,5.00,0.04,2.08,1.70,1.35,3.38,0.13,99.45,548,148,14,21,77,33,198,107,109,13,101,131,5.38,
MP31,65.01,0.75,17.66,5.90,0.08,2.34,2.59,1.51,3.13,0.27,99.41,700,131,16,12,60,25,151,171,111,10,105,128,4.50,
MP32,67.03,0.73,17.55,5.70,0.07,2.31,1.59,1.02,3.19,0.20,99.54,724,159,13,14,73,28,153,136,116,10,112,124,5.26,
MP33,66.63,0.61,16.48,4.83,0.07,2.13,2.80,1.47,3.94,0.22,99.33,549,124,16,13,64,29,209,147,94,9,92,119,3.96,
MP34,68.41,0.54,16.99,4.43,0.04,1.50,1.07,2.11,4.03,0.18,99.45,537,110,146,13,61,29,208,77,76,10,84,121,4.83,
MP35,60.43,0.78,18.84,5.97,0.08,2.39,6.40,1.59,2.77,0.18,99.60,619,109,38,12,71,27,151,188,111,11,118,139,8.87,
MP36,67.24,0.65,17.20,4.48,0.05,1.90,2.51,1.47,3.39,0.49,99.55,900,137,13,12,64,31,168,156,106,12,95,132,7.13,
MP37,66.91,0.61,18.11,4.17,0.06,1.44,2.57,1.73,3.21,0.16,99.12,627,144,18,14,61,39,144,211,96,15,113,121,8.91,
MP38,69.16,0.60,15.70,5.08,0.05,2.04,1.66,1.61,3.23,0.18,99.47,649,122,14,16,97,28,159,131,91,23,90,115,6.82,
MP39,67.35,0.68,17.47,5.51,0.07,2.24,1.34,1.17,3.46,0.10,99.55,728,155,16,13,73,31,163,122,113,8,106,116,4.28,
MP40,68.50,0.67,17.33,4.72,0.04,1.98,1.06,1.62,3.21,0.10,99.38,500,115,30,15,76,28,187,85,87,10,90,153,4.95,
