NAME,SIO2,TIO2,AL2O3,FE2O3,FEO,MNO,MGO,CAO,NA2O,K2O,P2O5,SUMME,Fe2O3 tot,GV,H2OP,H2OM,CO2,BA,CR,CU,GA,NB,NI,PB,RB,SR,TH,V,Y,ZN,ZR
AB 208,82.20,0.44,12.00,,,0.01,0.54,0.73,0.25,1.41,0.21,,2.14,,,,,454,67,27,14,10,58,7,61,49,22,104,14,80,112
AB 209,73.70,0.60,17.00,,,0.01,0.61,1.02,1.59,3.00,0.27,,2.08,,,,,549,76,25,18,12,57,22,94,131,48,107,20,78,165
AB 210,70.40,0.71,18.80,,,0.02,0.59,1.40,2.04,2.87,0.46,,2.32,,,,,586,92,28,20,17,59,22,108,199,52,133,19,92,203
AB 211,73.40,0.59,16.30,,,0.01,0.68,1.33,1.79,3.26,0.18,,2.37,,,,,444,69,28,16,16,67,17,136,70,52,110,17,69,162
AB 212,68.30,0.69,22.00,,,0.01,0.62,1.42,1.27,2.13,0.27,,3.06,,,,,582,75,22,22,16,45,18,87,127,39,123,13,58,145
AB 213,74.30,0.58,16.60,,,0.02,0.41,0.72,2.03,3.24,0.33,,1.89,,,,,364,68,26,16,15,59,13,124,82,48,95,15,71,170
AB 214,74.90,0.61,16.30,,,0.02,0.44,0.63,1.89,3.25,0.15,,1.99,,,,,426,66,24,17,18,51,17,139,81,56,101,14,70,182
AB 215,70.90,0.63,19.20,,,0.01,0.62,0.81,1.44,3.50,0.38,,2.34,,,,,529,83,31,19,17,78,13,138,67,56,147,21,82,160
AB 216,73.60,0.67,18.20,,,0.02,0.45,0.67,1.66,2.94,0.18,,1.85,,,,,284,75,29,19,18,65,18,124,54,52,123,22,82,184
AB 217,74.20,0.59,16.60,,,0.02,0.73,0.90,1.42,3.29,0.19,,2.11,,,,,481,77,28,16,14,60,12,133,85,41,118,11,76,163
AB 218,70.40,0.56,18.20,,,0.02,0.90,1.12,1.51,4.69,0.25,,2.51,,,,,932,73,24,16,9,52,32,132,172,27,108,11,79,131
AB 219,71.90,0.61,17.10,,,0.03,1.09,1.18,1.40,3.25,0.14,,2.96,,,,,462,79,27,16,11,61,9,130,103,39,133,10,80,147
AB 220,71.70,0.79,20.70,,,0.01,0.48,1.29,1.08,1.84,0.41,,2.06,,,,,556,78,23,17,21,47,14,65,114,31,127,22,65,232
