NAME,SIO2,TIO2,AL2O3,FE2O3,FEO,MNO,MGO,CAO,NA2O,K2O,P2O5,SUMME,Fe2O3 tot,GV,H2OP,H2OM,CO2,BA,CR,CU,GA,NB,NI,PB,RB,SR,TH,V,Y,ZN,ZR
AB 283,50.80,1.25,18.80,,,0.11,1.06,19.60,0.23,1.72,0.15,,5.86,,,,,872,84,21,9,16,40,1,35,235,22,97,43,262,217
AB 284,28.80,0.59,10.50,,,0.06,1.63,51.90,0.13,1.36,0.15,,3.40,,,,,340,40,21,1,7,30,1,32,250,11,57,22,217,81
AB 285,44.30,0.67,15.80,,,0.05,1.55,30.90,0.22,1.45,0.15,,4.91,,,,,544,63,28,7,10,48,1,49,209,22,91,22,357,93
AB 287,50.20,0.93,20.00,,,0.05,1.63,17.30,0.31,1.91,0.15,,7.20,,,,,787,104,19,11,14,66,1,64,143,25,144,47,325,145
AB 288,31.00,0.56,10.40,,,0.04,1.60,51.00,0.16,1.11,0.15,,2.99,,,,,307,41,14,1,8,34,1,33,194,13,58,26,142,84
AB 289,9.28,0.26,5.89,,,0.07,1.79,74.90,0.09,0.66,0.15,,2.11,,,,,333,20,13,1,1,25,1,8,247,1,26,9,207,19
AB 290,28.40,0.54,9.96,,,0.03,2.02,52.90,0.10,1.36,0.15,,3.02,,,,,262,39,8,1,7,26,1,33,254,14,60,14,196,73
AB 291,15.50,0.57,11.80,,,0.10,1.40,61.00,0.09,0.89,0.15,,6.27,,,,,463,55,10,1,4,35,1,13,284,11,53,20,167,64
AB 292,28.70,0.58,12.30,,,0.10,1.67,48.90,0.22,1.59,0.15,,4.70,,,,,409,42,24,1,7,41,1,47,200,13,69,18,337,70
AB 293,57.30,0.80,18.90,,,0.05,1.24,14.10,0.55,2.10,0.15,,4.92,,,,,684,81,14,12,14,55,1,66,143,31,113,25,226,129
AB 294,64.30,1.01,16.10,,,0.05,1.45,9.83,0.36,1.82,0.15,,5.25,,,,,684,85,22,13,17,52,7,58,90,30,114,32,235,274
AB 295,50.30,0.94,12.60,,,0.03,1.26,29.30,0.14,1.49,0.15,,3.44,,,,,471,54,19,3,14,32,1,45,147,20,91,36,214,178
AB 298,46.00,0.99,14.80,,,0.11,0.97,31.60,0.25,1.58,0.15,,3.51,,,,,810,60,19,7,11,30,1,39,210,37,89,32,213,178
AB 300,41.70,0.76,16.80,,,0.13,1.83,29.20,0.13,1.83,0.15,,7.09,,,,,544,70,13,6,11,54,1,68,164,18,128,32,211,113
AB 301,65.30,1.01,17.30,,,0.08,0.86,6.71,0.43,1.40,0.15,,6.54,,,,,1120,103,22,11,16,60,1,57,153,27,156,58,267,227
AB 302,39.80,0.71,9.03,,,0.05,1.66,43.60,0.09,1.46,0.15,,2.80,,,,,344,39,9,1,11,24,1,38,170,15,76,28,159,134
AB 303,40.50,0.84,18.70,,,0.06,1.84,29.00,0.23,2.30,0.15,,5.89,,,,,603,70,19,7,13,52,1,77,191,19,142,35,191,126
AB 304,42.70,0.84,15.20,,,0.07,2.14,30.60,0.17,2.04,0.15,,5.64,,,,,683,59,9,4,13,38,1,59,194,21,114,36,375,138
AB 305,26.35,0.40,5.22,,,0.04,1.38,60.99,0.15,1.02,0.35,,1.40,,,,,72,28,19,1,9,26,1,35,206,1,34,15,57,74
AB 306,25.42,0.41,5.22,,,0.03,1.34,62.43,0.12,0.91,0.08,,1.45,,,,,63,29,9,1,8,27,1,22,203,1,29,17,44,70
AB 307,23.22,0.38,4.56,,,0.03,1.38,64.97,0.09,0.79,0.09,,1.38,,,,,50,22,11,1,6,27,1,17,223,1,33,13,44,64
AB 308,15.78,0.28,3.55,,,0.04,2.75,70.19,0.08,0.80,0.09,,1.91,,,,,29,20,12,1,3,28,1,14,279,1,20,7,43,39
AB 309,24.47,0.36,4.04,,,0.04,2.91,61.53,0.12,0.97,0.10,,2.35,,,,,45,23,9,1,5,26,1,18,275,1,26,9,43,70
AB 310,47.73,0.82,13.79,,,0.04,1.73,28.15,0.19,2.99,0.16,,4.71,,,,,183,58,7,6,11,42,1,96,201,2,89,22,64,131
